1246+1249,191.5042, 12.8244
1246-0013,191.4621, -0.2156
1246-0644,191.4383, -6.7356
1247+0125,191.6437,  1.4144
1247+0303,191.8480,  3.0444
1247-0329,191.7480, -3.4756
1248-0151,192.1038, -1.8456
1248-0822,191.9592, -8.3656
1248-0960,191.9650, -9.9956
1248-1138,192.1000,-11.6256
1249-0506,192.1496, -5.1056
1251+0440,192.6314,  4.6744
1251+1112,192.8017, 11.1944
1251-1315,192.8629,-13.2556
1252+2626,193.1146, 26.4328
1252+2804,193.0904, 28.0628
1252+2942,193.0538, 29.6928
1252-0013,193.0921, -0.2156
1252-0644,193.0796, -6.7356
1253+0125,193.2742,  1.4144
1253-1453,193.2646,-14.8856
1254+0303,193.4803,  3.0444
1254-0329,193.3810, -3.4756
1254-0822,193.6067, -8.3656
1254-0960,193.6200, -9.9956
1255-0151,193.7346, -1.8456
1255-0506,193.7861, -5.1056
1255-1138,193.7641,-11.6256
1255-1631,193.7996,-16.5156
1258-1315,194.5375,-13.2556
1259-0013,194.7221, -0.2156
1259-0644,194.7209, -6.7356
1260+0125,194.9047,  1.4144
1260+2626,194.9208, 26.4328
1260+2804,194.9221, 28.0628
1260+2942,194.9133, 29.6928
1260-1453,194.9512,-14.8856
1300+0303,195.1126,  3.0444
1300-0329,195.0140, -3.4756
1301-0151,195.3655, -1.8456
1301-0822,195.2542, -8.3656
1301-0960,195.2750, -9.9956
1302-0506,195.4226, -5.1056
1302-1138,195.4283,-11.6256
1307+2626,196.7271, 26.4328
1307+2804,196.7538, 28.0628
1307+2942,196.7733, 29.6928
1307-0329,196.6470, -3.4756
1308-0506,197.0591, -5.1056
1308-0822,196.9018, -8.3656
1308-1631,197.0999,-16.5156
1311-1947,197.7000,-19.7756
1314-1809,198.5500,-18.1456
1315-1631,198.8000,-16.5156
1435+0328,218.6470,  3.4620
1441+0328,220.2800,  3.4620
1557+4148,239.3500, 41.8000
1603+1618,240.7000, 16.3000
1618+3504,244.4050, 35.0600
1621+3916,245.3600, 39.2600
1622+4053,245.4090, 40.8900
1623+3738,245.7150, 37.6300
1630+3916,247.4850, 39.2600
1630+4053,247.5650, 40.8900
